analyst_id,Ticker,Quarter,Reported,Rank,EpsPoints,RevenuePoints,TotalPoints
Dominantstock,DGII,Q4 2021,10-Nov-21,3/5,-8,23,15
Dominantstock,SWIR,Q3 2021,9-Nov-21,5/5,14,-24,-10
Dominantstock,AAOI,Q3 2021,4-Nov-21,6/10,10,-1,9
Dominantstock,CRTO,Q3 2021,3-Nov-21,3/4,9,10,19
Dominantstock,IBM,Q3 2021,20-Oct-21,26 / 68,-1,-2,-3
Dominantstock,MOMO,Q2 2021,26-Aug-21,5/10,9,24,33
Dominantstock,SWIR,Q2 2021,12-Aug-21,4/8,10,10,20
Analyst_398345,AAOI,Q2 2021,5-Aug-21,2/7,19,-5,14
Analyst_398345,DGII,Q3 2021,4-Aug-21,3/5,-9,23,14
Analyst_398345,CRTO,Q2 2021,4-Aug-21,1/4,11,16,27
Analyst_398345,JNPR,Q2 2021,27-Jul-21,2/20,16,22,38
Analyst_398345,MOMO,Q1 2021,8-Jun-21,12/22,14,-3,11
Analyst_398345,SWIR,Q1 2021,13-May-21,6/8,-5,-5,-10
Analyst_398345,AAOI,Q1 2021,6-May-21,6/10,22,-1,21
Analyst_398345,DGII,Q2 2021,5-May-21,5/6,7,10,17
Analyst_398345,CRTO,Q1 2021,5-May-21,4/6,13,11,24
Analyst_398345,JNPR,Q1 2021,27-Apr-21,13 / 26,7,17,24
Analyst_398345,IBM,Q1 2021,19-Apr-21,50 / 83,10,9,19
Analyst_398345,AAOI,Q4 2020,25-Feb-21,4/10,22,-1,21
Analyst_398345,SWIR,Q4 2020,23-Feb-21,4/9,12,11,23
Analyst_398345,IRDM,Q4 2020,11-Feb-21,3/4,9,12,21
Analyst_398345,CRTO,Q4 2020,10-Feb-21,3/7,10,12,22
Analyst_398345,GILD,Q4 2020,4-Feb-21,4/1,23,15,38
Analyst_398345,DGII,Q1 2021,3-Feb-21,4/6,10,10,20
Analyst_398345,EMKR,Q1 2021,3-Feb-21,2/6,25,-3,22
Analyst_398345,WDC,Q2 2021,28-Jan-21,6/20,12,20,32
Analyst_398345,EGHT,Q3 2021,28-Jan-21,7/10,-9,12,3
Analyst_398345,MITK,Q1 2021,28-Jan-21,8/10,-1,-17,-18
Analyst_398345,XLNX,Q3 2021,27-Jan-21,4/22,13,14,27
andluger,FFIV,Q1 2021,26-Jan-21,16 / 31,14,-6,8
andluger,MSFT,Q2 2021,26-Jan-21,123 / 276,9,10,19
andluger,EMKR,Q4 2020,30-Nov-20,6/6,-3,-25,-28
andluger,SWIR,Q3 2020,12-Nov-20,5/9,-3,-3,-6
andluger,DGII,Q4 2020,12-Nov-20,4/7,10,9,19
andluger,GLOG,Q3 2020,10-Nov-20,3/6,22,17,39
andluger,AAOI,Q3 2020,5-Nov-20,4/12,16,-3,13
andluger,CRNT,Q3 2020,2-Nov-20,8/9,8,-5,3
andluger,CRTO,Q3 2020,28-Oct-20,5/6,10,10,20
